S_ID,Flow_Coef_1,Flow_Coef_2,Flow_Coef_3,Flow_Coef_4,Flow_Coef_5,DISTRICT_ID
312133,1766.797981,45.140951,80.752733,60.032492,-4.81108,3
312133,2131.313268,79.142751,-73.111723,55.906091,20.371907,3
312133,1956.21914,-79.842293,212.483076,35.362875,46.691449,3
312133,2277.314376,31.254191,-40.362829,92.421803,14.866935,3
312133,1818.31933,-14.803598,170.861494,40.995218,39.413126,3
312133,2135.993744,75.948427,-55.385533,50.625891,36.456733,3
312133,1933.200117,-40.515584,165.188573,49.882652,43.913867,3
312133,2116.415485,136.67573,-60.902921,77.423024,33.299769,3
312133,1794.426248,-45.566845,181.69596,60.228289,36.508407,3
312133,2305.012002,-37.290629,-123.039366,-13.160692,237.276422,3
312133,2143.511185,-69.507889,165.550154,59.192825,10.543789,3
312133,2143.511185,-69.507889,165.550154,59.192825,10.543789,3
312133,2333.566806,42.210246,-89.994431,90.676054,32.256671,3
312133,2333.566806,42.210246,-89.994431,90.676054,32.256671,3
312133,2333.566806,42.210246,-89.994431,90.676054,32.256671,3
312133,1624.502164,14.80168,291.423748,-33.634904,31.254239,3
312133,1991.353242,97.386585,31.05935,21.209643,98.315859,3
312133,1662.426499,-52.560387,202.364335,94.499147,52.539105,3
312133,2176.614708,57.159647,-70.683781,32.966469,80.843381,3
312133,1852.612817,-21.378183,151.798418,98.881352,3.091546,3
312133,1852.612817,-21.378183,151.798418,98.881352,3.091546,3
312133,2030.021589,94.515862,-63.72001,134.444056,10.062973,3
312133,1685.153686,-106.559897,235.435768,62.18312,39.45283,3
312133,1619.019521,-64.285981,152.16163,87.465883,57.552278,3
312133,1889.437954,91.710894,-52.703287,57.840134,81.842147,3
312133,1565.191925,-40.891722,134.167158,89.713476,54.45875,3
312133,1801.10254,154.522689,-113.0851,63.627426,57.988367,3
312133,1699.82843,-11.633987,65.283167,121.141625,-49.540557,3
312133,1674.306163,149.562223,-80.991294,76.46963,53.461663,3
312133,1622.926711,-85.485342,153.093491,84.815513,56.397518,3
312133,1830.534822,62.655031,-60.088224,74.053068,107.044823,3
312133,1774.003011,-127.017805,52.342256,81.312477,109.634075,3
312133,2033.956323,50.64415,-194.390325,112.618078,85.773265,3
312133,1613.52648,9.093577,52.757512,53.46724,96.717236,3
312133,1565.874017,133.661772,-405.99747,192.883499,287.289771,3
312133,1659.581178,-48.77411,167.921939,111.055159,4.517854,3
312133,1919.058632,78.561939,-98.469653,95.562573,99.792679,3
312133,1732.864667,-162.462283,216.583352,107.58865,-4.334476,3
312133,1951.691065,11.570346,-64.419391,107.738065,104.529201,3
312133,1606.00589,-65.444283,133.087893,88.200024,42.416196,3
312133,1719.44907,65.08555,-182.042518,108.185028,232.423173,3
312133,1656.997113,-100.260146,169.509093,70.24466,40.191856,3
312133,1841.985959,55.395057,-58.72438,57.98249,118.247018,3
312133,1411.797657,-73.647417,252.349141,-16.101762,71.048914,3
312133,2016.117397,2.046984,-67.386242,47.272085,151.576209,3
312133,1543.844281,-78.08095,146.688561,39.164615,86.434898,3
312133,1824.781726,62.268569,-61.355893,57.642602,84.838606,3
312133,1559.764663,-147.726245,197.38986,57.142588,66.248525,3
312133,1842.795368,-27.169255,-62.851642,77.421647,91.525528,3
312133,1374.889143,-79.312554,142.615527,59.630512,51.775833,3
312133,1374.889143,-79.312554,142.615527,59.630512,51.775833,3
312133,1542.503092,75.889545,-176.866138,71.085186,203.378491,3
312133,1484.052765,-80.761978,175.165274,27.35094,72.606484,3
312133,1811.942121,24.769295,-85.172235,63.694355,121.99728,3
312133,1484.205072,-106.948054,149.193386,103.335833,40.891823,3
312133,1781.11592,15.759304,-49.716989,47.742425,105.732855,3
312133,1882.281015,-74.673278,34.580569,39.183057,119.556029,3
312133,1767.429502,12.154164,-85.675852,54.462109,126.701955,3
312133,1497.220556,-75.489826,169.821232,43.103702,78.331777,3
312133,1787.60277,9.466261,-57.969649,27.303597,148.079447,3
312133,1458.295269,-49.951879,203.134402,-0.41445,67.162477,3
312133,1766.02337,80.694769,-56.573064,-8.159797,128.777533,3
312133,1479.197771,-97.595861,189.836974,20.017579,87.699987,3
312133,1654.069458,73.083484,-45.708506,20.148862,93.849238,3
312133,1516.742797,-120.177437,123.8113,61.721562,59.248941,3
312133,1719.87271,64.8549,-117.428304,-1.806173,82.704488,3
312133,1451.0964,-85.773662,171.653124,37.192704,41.541257,3
312133,1706.751058,76.691203,-105.60014,44.052095,105.008256,3
